Lq_nH,qubit_frequency_GHz,ReY_at_resonance_S,T1_s,crossed_zero
10.0,4.809656066451813,2.223762693726776e-9,4.9216792413680115e-5,true
11.0,4.58582711953146,2.0216027875169675e-9,5.413846258535506e-5,true
12.0,4.390595208078315,1.8531361808353654e-9,5.906013168719206e-5,true
13.0,4.218347429033221,1.7105874570664733e-9,6.398180135269387e-5,true
14.0,4.06490127892147,1.5884027843224312e-9,6.890347206305338e-5,true
15.000000000000002,3.9270677219688506,1.48250939577128e-9,7.382514214521857e-5,true
16.0,3.8023669943439935,1.3898527024041007e-9,7.874681013687392e-5,true
17.0,3.688837811087516,1.3080967376926455e-9,8.366848087052774e-5,true
18.0,3.5849059646506163,1.2354247671466647e-9,8.859015116494245e-5,true
19.0,3.4892912591958054,1.1704025005176997e-9,9.351181907593824e-5,true
20.0,3.400940410623521,1.1118824038552304e-9,9.843349125316946e-5,true
21.0,3.318977989985811,1.0589356641822442e-9,0.00010335516176892213,true
22.0,3.242669475980355,1.010802306915334e-9,0.00010827682735354523,true
23.0,3.171393315282138,9.668544233990231e-10,0.00011319849630482379,true
24.0,3.104619663031664,9.265688552861008e-10,0.00011812016586791337,true
25.0,3.041893586353607,8.895061036960405e-10,0.0001230418390831375,true
26.0,2.9828220774580076,8.552943665150681e-10,0.00012796350725467883,true
27.0,2.92706346327786,8.236168053584152e-10,0.00013288517932415035,true
28.0,2.8743192887635596,7.94201971361061e-10,0.00013780684362552428,true
29.0,2.8243273154686324,7.668157163854987e-10,0.00014272851290832855,true
30.000000000000004,2.7768562324395267,7.412551903832041e-10,0.00014765018619007132,true
